,MOV,carm_elo1_pre_538,carm_elo2_pre_538,carmelo1_pre_538,carmelo2_pre_538,date,elo1_post,elo1_pre,elo1_pre_538,elo2_post,elo2_pre,elo2_pre_538,score1,score2,season,team1,team2
131,-14.0,,,,,2009-11-13,1348.9443512921132,1365.4831295601077,1368.8644,1407.4229339893263,1390.8841557213318,1393.5099,107.0,121.0,2010,NYK,GSW
132,-3.0,,,,,2009-11-14,1557.1113863528242,1567.4485850789554,1568.7372,1462.8035998899056,1452.4664011637744,1444.6093,98.0,101.0,2010,SAS,OKC
133,1.0,,,,,2009-11-14,1544.3768949146684,1542.9401346794853,1537.0533,1383.7107859289604,1385.1475461641435,1392.1896,81.0,80.0,2010,MIA,NJN
134,6.0,,,,,2009-11-14,1518.0048619219608,1513.410258121459,1514.6764,1450.7800274885055,1455.3746312890073,1456.2019,94.0,88.0,2010,CHI,PHI
135,9.0,,,,,2009-11-14,1501.563782742351,1487.3654620246004,1486.8325,1634.0639343864007,1648.262255104151,1642.6752,113.0,104.0,2010,IND,BOS
136,10.0,,,,,2009-11-14,1366.8369593870184,1360.484937112446,1364.9376,1302.2239247961109,1308.5759470706832,1313.5737,97.0,87.0,2010,MEM,MIN
137,-6.0,,,,,2009-11-14,1453.7268248491841,1459.7244916901893,1459.8193,1632.0214710695886,1626.0238042285835,1624.0597,74.0,80.0,2010,CHO,POR
138,4.0,,,,,2009-11-14,1682.2640240762146,1679.9170391493192,1682.2454,1527.7719710725646,1530.11895599946,1530.9867,107.0,103.0,2010,CLE,UTA
139,23.0,,,,,2009-11-14,1583.10022163057,1575.0287468380188,1571.0498,1452.2730556150925,1460.3445304076438,1461.8456,121.0,98.0,2010,ATL,NOP
140,4.0,,,,,2009-11-14,1487.7200980597158,1484.2953021829248,1480.9972,1403.9981381125353,1407.4229339893263,1410.1195,129.0,125.0,2010,MIL,GSW
141,-3.0,,,,,2009-11-14,1365.0873833529345,1370.342201387125,1370.6934,1493.1506881129108,1487.8958700787202,1485.8677,103.0,106.0,2010,WAS,DET
142,-10.0,,,,,2009-11-15,1674.0850331495508,1691.9758632967287,1693.9556,1625.9159924134806,1608.0251622663027,1611.8867,91.0,101.0,2010,LAL,HOU
143,1.0,,,,,2009-11-15,1585.038067356233,1582.9951851730223,1580.4988,1490.343875777807,1492.3867579610176,1490.1949,101.0,100.0,2010,PHO,TOR
144,-5.0,,,,,2009-11-15,1486.4469985823946,1493.1506881129108,1491.1501,1613.834883709333,1607.131194178817,1605.4821,90.0,95.0,2010,DET,DAL
145,-8.0,,,,,2009-11-15,1444.9418085924294,1462.8035998899056,1455.293,1336.2220220828394,1318.3602307853632,1317.4071,93.0,101.0,2010,OKC,LAC
146,4.0,,,,,2009-11-16,1589.1880043144895,1583.10022163057,1578.1918,1625.9336883856693,1632.0214710695886,1630.0698,99.0,95.0,2010,ATL,POR
147,6.0,,,,,2009-11-16,1616.5301370108386,1613.8153361029508,1619.3049,1451.0120239412963,1453.7268248491841,1453.8092,97.0,91.0,2010,ORL,CHO
148,-2.0,,,,,2009-11-16,1483.3233720138303,1487.7200980597158,1484.0258,1618.2316097552186,1613.834883709333,1612.1528,113.0,115.0,2010,MIL,DAL
149,18.0,,,,,2009-11-17,1645.7135907151428,1640.0590071765919,1642.4708,1484.689292239256,1490.343875777807,1488.4369,130.0,112.0,2010,DEN,TOR
150,8.0,,,,,2009-11-17,1456.300259523941,1452.2730556150925,1454.7036,1332.194818173991,1336.2220220828394,1335.2874,110.0,102.0,2010,NOP,LAC
151,-8.0,,,,,2009-11-17,1375.1864104040608,1383.7107859289604,1390.8627,1510.0881582672505,1501.563782742351,1498.6453,83.0,91.0,2010,NJN,IND
152,-6.0,,,,,2009-11-17,1613.9283439359526,1625.9159924134806,1629.8738,1597.0257158337608,1585.038067356233,1582.2568,105.0,111.0,2010,HOU,PHO
153,-13.0,,,,,2009-11-17,1522.4881283941018,1544.3768949146684,1538.3802,1466.830575112996,1444.9418085924294,1437.4127,87.0,100.0,2010,MIA,OKC
154,-14.0,,,,,2009-11-17,1374.0192836468157,1385.4357780070766,1379.0923,1529.4213562822217,1518.0048619219608,1518.6093,87.0,101.0,2010,SAC,CHI
155,13.0,,,,,2009-11-17,1677.7847405947784,1674.0850331495508,1675.9685,1482.747291137167,1486.4469985823946,1484.4794,106.0,93.0,2010,LAL,DET
156,6.0,,,,,2009-11-17,1683.658511626913,1682.2640240762146,1684.2523,1402.603650561837,1403.9981381125353,1407.0909,114.0,108.0,2010,CLE,GSW
157,13.0,,,,,2009-11-18,1535.5965617772476,1527.7719710725646,1528.9797,1476.864701534573,1484.689292239256,1483.6747,104.0,91.0,2010,UTA,TOR
158,-7.0,,,,,2009-11-18,1492.9753100606888,1510.0881582672505,1507.4663,1366.057199498675,1348.9443512921132,1352.2548,103.0,110.0,2010,IND,NYK
159,15.0,,,,,2009-11-18,1596.855477549936,1589.1880043144895,1583.4436,1514.8206551586552,1522.4881283941018,1516.1659,105.0,90.0,2010,ATL,MIA
